Year	Committer	Commits
2003	murdoch	104
2003	ripley	1731
2003	leisch	59
2003	iacus	205
2003	ihaka	5
2003	pd	790
2003	jmc	149
2003	maechler	1057
2003	luke	186
2003	rgentlem	39
2003	tlumley	53
2003	martyn	15
2003	duncan	15
2003	murrell	44
2003	bates	37
2003	hornik	785
2004	murdoch	142
2004	leisch	41
2004	jmc	43
2004	maechler	672
2004	root	79
2004	tlumley	41
2004	apache	244
2004	bates	11
2004	ripley	1989
2004	iacus	123
2004	ihaka	1
2004	pd	471
2004	luke	5
2004	rgentlem	15
2004	martyn	5
2004	duncan	10
2004	murrell	81
2004	hornik	559
2005	murdoch	199
2005	ripley	2701
2005	leisch	34
2005	plummer	13
2005	iacus	52
2005	ihaka	3
2005	pd	64
2005	jmc	8
2005	maechler	275
2005	rgentlem	14
2005	luke	8
2005	urbaneks	37
2005	tlumley	27
2005	root	8
2005	apache	414
2005	duncan	20
2005	murrell	46
2005	bates	14
2005	hornik	587
2006	murdoch	222
2006	ripley	2109
2006	leisch	29
2006	iacus	2
2006	pd	59
2006	jmc	53
2006	maechler	282
2006	rgentlem	13
2006	luke	10
2006	urbaneks	74
2006	tlumley	28
2006	duncan	27
2006	murrell	35
2006	hornik	450
2007	murdoch	153
2007	leisch	21
2007	jmc	17
2007	maechler	214
2007	deepayan	7
2007	urbaneks	64
2007	tlumley	1
2007	bates	10
2007	ripley	2556
2007	ihaka	2
2007	luke	36
2007	rgentlem	27
2007	pd	70
2007	falcon	5
2007	duncan	6
2007	murrell	14
2007	hornik	295
2008	murdoch	259
2008	leisch	15
2008	plummer	11
2008	jmc	87
2008	maechler	323
2008	deepayan	8
2008	urbaneks	72
2008	ripley	2464
2008	ihaka	1
2008	pd	76
2008	rgentlem	9
2008	luke	27
2008	falcon	5
2008	murrell	12
2008	hornik	218
2009	murdoch	357
2009	leisch	20
2009	plummer	2
2009	jmc	47
2009	maechler	281
2009	deepayan	8
2009	tlumley	3
2009	urbaneks	35
2009	ripley	2298
2009	ihaka	2
2009	pd	59
2009	luke	26
2009	rgentlem	24
2009	falcon	11
2009	duncan	3
2009	murrell	35
2009	hornik	243
2010	murdoch	196
2010	ripley	2116
2010	leisch	21
2010	luke	96
2010	pd	66
2010	maechler	185
2010	jmc	88
2010	deepayan	7
2010	urbaneks	39
2010	falcon	24
2010	murrell	37
2010	bates	1
2010	hornik	150
2011	murdoch	205
2011	ripley	3084
2011	leisch	24
2011	ligges	6
2011	pd	76
2011	jmc	74
2011	maechler	183
2011	luke	148
2011	deepayan	10
2011	urbaneks	79
2011	murrell	17
2011	bates	3
2011	hornik	225
2012	murdoch	141
2012	ripley	1682
2012	leisch	10
2012	plummer	2
2012	ligges	18
2012	pd	50
2012	jmc	33
2012	maechler	133
2012	luke	34
2012	urbaneks	14
2012	murrell	3
2012	hornik	90
